ID,NAME,SHIRT NAME,CALL NAME,AGE,INJURY TOLERANCE,DRIBBLE STYLE,FK STYLE,PK STYLE,DK STYLE,GOAL CELEBRATION 1,GOAL CELEBRATION 2,GROWTH TYPE,SPECIFIC GROWTH TYPE,CONSISTENCY,STRONG FOOT,FAVOURED SIDE,REGISTERED POSITION,GK,SW,CB,SB,DM,WB,CM,SM,AM,WF,SS,CF,NATIONALITY,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER,FACE TYPE,SKIN COLOR,HEAD HEIGHT,HEAD WIDTH,HEAD POSITION,PRESET FACE NUMBER,BROWS TYPE,BROWS ANGLE,BROWS HEIGHT,EYEBROW SPACING,EYES TYPE,EYES POSITION,EYES ANGLE,EYES LENGTH,EYES WIDTH,EYE COLOR 1,EYE COLOR 2,NOSE TYPE,NOSE HEIGHT,NOSE WIDTH,CHEEK TYPE,CHEEK SHAPE,MOUTH TYPE,MOUTH SIZE,MOUTH POSITION,JAW TYPE,CHIN HEIGHT,CHIN WIDTH,HAIR TYPE,HAIR SHAPE,HAIR FRONT,HAIR VOLUME,HAIR DARKNESS,HAIR COLOR TYPE,HAIR COLOR PATTERN,HAIR COLOR RGB-R,HAIR COLOR RGB-G,HAIR COLOR RGB-B,BANDANA TYPE,BANDANA COLOR,CAP,CAP TYPE,FACIAL HAIR TYPE,FACIAL HAIR COLOR,GLASSES TYPE,GLASSES COLOR,HEIGHT,WEIGHT,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,NECK WARMER,NECKLACE TYPE,NECKLACE COLOR,WRISTBAND,WRISTBAND COLOR,BRACELET TYPE,BRACELET COLOR,GLOVES,FINGER BAND TYPE,SHIRT TYPE,SLEEVE LENGTH,UNDER SHORTS,UNDER SHORTS COLOR,SOCKS TYPE,ANKLE TAPE,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOALKEEPING,TEAMWORK,CONDITION,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,DRIBBLING,TACTICAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW
11,Wallner,W A L L N E R,9116,24,A,1,1,1,1,N,N,Standard,62,5,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Austria,11,0,,0,Build,1,-4,2,0,1,27,0,-3,0,19,0,-2,-2,-2,1,Black 1,6,-3,-2,5,0,14,0,0,1,-3,0,Very Short 2,5,3,NA,NA,Pattern,13,63,63,63,NA,White,N,1,96,6,N,1,176,80,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,77,33,80,84,80,85,84,80,75,78,67,69,65,70,81,80,78,81,83,70,75,76,86,70,50,64,5,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Schranz,S C H R A N Z,10969,27,A,1,1,1,2,N,N,Standard,57,5,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Austria,21,0,,0,Build,1,0,0,0,1,3,0,-2,0,7,-1,-3,-1,-1,1,Blue 2,2,-1,0,1,0,1,0,0,1,-3,-1,Straight 1,1,1,1,NA,Pattern,55,63,63,63,N,White,N,1,N,Same,N,1,183,83,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,30,80,81,62,66,65,85,65,43,42,48,46,50,57,37,81,39,38,38,40,76,45,58,74,80,70,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Payer,P  A  Y  E  R,9542,27,A,1,1,1,2,N,N,Standard,52,4,R,R,GK,1,0,0,0,0,0,0,0,0,0,0,0,Austria,16,0,,0,Build,1,3,-2,0,1,15,-2,-1,3,11,-1,1,-1,1,1,Black 2,6,0,1,1,0,6,0,1,7,1,1,Very Short 2,3,2,NA,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,184,84,0,0,1,1,0,0,0,-1,-2,2,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,30,78,83,56,65,67,86,68,48,50,49,47,52,58,37,80,37,36,36,44,82,47,62,73,80,66,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ehmann,E H M A N N,9402,33,A,1,1,1,1,N,N,Late/Lasting,90,4,R,B,CB,0,0,1,0,0,0,0,0,0,0,0,0,Austria,19,0,,0,Build,1,2,2,0,1,26,-3,-3,-3,29,0,1,0,0,1,Black 2,4,-1,0,4,-2,5,1,0,1,0,1,Very Short 2,1,9,NA,NA,Pattern,9,63,63,63,NA,White,N,1,76,Same,N,1,188,81,-2,0,1,1,2,0,1,1,0,-1,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,53,76,84,75,69,66,72,65,61,59,65,63,67,72,53,80,55,44,48,82,72,66,58,74,50,74,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Feldhofer,FELDHOFER,9113,27,A,1,1,1,1,N,N,Standard,3,5,R,B,CB,0,0,1,0,1,0,0,0,0,0,0,0,Austria,20,0,,0,Build,1,-1,0,0,1,8,-3,0,0,2,1,-1,0,-2,1,Brown 2,1,0,-2,3,3,4,0,0,2,-1,1,Very Short 2,1,1,NA,NA,Pattern,12,63,63,63,NA,White,N,1,N,Same,N,1,182,76,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,53,73,78,82,76,75,77,70,70,67,73,68,73,70,57,76,60,57,56,73,81,72,59,73,50,75,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,A. Ibertsberger,IBERTSBERGER,11076,24,A,1,1,1,1,N,N,Standard,74,6,R,B,SB,0,0,0,1,0,1,0,0,0,0,0,0,Austria,15,0,,0,Build,1,-4,1,1,1,5,0,-3,1,30,0,-3,0,2,1,Dark Grey 2,4,3,2,4,1,13,0,0,1,0,2,Very Short 2,5,3,NA,NA,Pattern,21,63,63,63,NA,White,N,1,N,Same,N,1,177,78,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,63,67,77,80,76,75,72,72,74,72,71,67,75,73,60,79,63,60,65,73,74,75,64,72,50,75,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Gercaliu,GERCALIU,11620,20,A,1,1,1,1,N,N,Standard,3,5,L,L,SB,0,0,0,1,0,0,0,0,0,0,0,0,Austria,13,0,,0,Build,1,-7,4,0,1,5,-1,-1,-3,27,0,0,-1,1,1,Black 2,2,3,-2,1,2,6,0,0,5,-1,-2,Buzz Cut,3,3,NA,1,Pattern,19,63,63,63,NA,White,N,1,35,11,N,1,181,76,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,62,66,78,80,76,74,73,71,73,72,70,69,73,70,60,80,63,60,64,74,76,72,65,65,50,74,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Standfest,STANDFEST,10971,26,A,1,1,1,1,N,N,Standard/Lasting,47,5,R,R,SB,0,0,0,1,0,0,0,0,0,0,0,0,Austria,14,0,,0,Build,1,-1,-1,0,1,9,0,-3,0,29,-2,-3,-3,-3,1,Black 2,6,0,-3,5,0,6,0,0,1,0,0,Straight 1,2,15,1,NA,Pattern,11,63,63,63,NA,White,N,1,100,8,N,1,180,73,0,0,0,0,0,0,0,0,0,0,N,N,White,R,White,None,White,Y,N,Standard,Auto,N,Same,Standard,Y,67,65,75,81,76,74,68,70,71,75,68,69,70,70,64,78,65,60,66,68,72,70,67,70,50,72,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Dospel,D O S P E L,8393,30,A,1,1,1,1,N,N,Standard/Lasting,13,5,R,B,SB,0,0,0,1,0,0,0,1,0,0,0,0,Austria,23,0,Djurgardens IF,5,Build,1,-1,-2,0,1,24,-2,-3,0,24,-2,-2,-3,-3,1,Black 1,5,-2,0,3,0,14,-2,0,1,-3,-2,Very Short 2,1,1,NA,NA,Pattern,12,63,63,63,NA,Black,N,1,N,Same,N,1,184,75,-2,0,1,1,2,0,1,1,0,-1,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,N,59,73,78,80,74,68,76,74,70,69,71,68,69,72,57,77,55,53,58,78,76,69,61,73,50,75,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Lasnik,L A S N I K,11621,22,A,1,1,1,1,N,N,Standard/Lasting,11,5,L,L,SM,0,0,0,0,0,0,0,1,0,0,0,0,Austria,17,0,,0,Build,1,-1,-2,0,1,6,0,-3,-3,17,-2,-2,-1,-1,1,Dark Grey 2,8,0,-1,3,3,15,0,-1,8,-1,0,Straight 1,1,14,1,NA,Pattern,23,63,63,63,NA,White,N,1,N,Same,N,1,183,78,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,73,42,75,75,78,77,71,78,79,72,76,70,81,73,70,80,68,75,76,64,73,81,70,67,50,67,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Säumel,S A U M E L,11622,22,A,1,1,1,1,N,N,Standard,3,5,L,B,AM,0,0,0,0,1,0,0,0,1,0,0,0,Austria,22,0,,0,Build,1,-4,-2,0,1,9,-3,-2,3,4,-1,-1,0,0,1,Black 2,7,0,-1,3,-1,7,1,0,4,-2,-1,Curly 1,1,1,2,NA,Pattern,13,63,63,63,N,White,N,1,N,Same,N,1,180,74,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,70,59,73,80,75,74,70,75,79,71,80,72,79,74,68,77,70,72,74,63,72,80,68,67,50,69,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Sariyar,S A R I Y A R,11623,27,A,1,1,1,1,N,N,Standard,60,4,R,B,SS,0,0,0,0,0,0,0,0,0,0,1,0,Austria,12,0,,0,Build,1,5,3,0,1,22,-2,-3,-3,14,0,0,-1,-1,1,Blue 2,3,2,0,4,2,15,3,-1,8,0,1,Very Short 2,3,7,NA,NA,Pattern,8,63,63,63,NA,White,N,1,96,9,N,1,182,77,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,73,40,75,80,76,78,74,75,75,75,73,71,72,70,73,78,74,63,60,73,78,76,75,68,50,70,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Kuljic,K U L J I C,11624,29,A,1,1,1,1,N,N,Standard,6,4,R,B,CF,0,0,0,0,0,0,0,0,0,0,0,1,Austria,18,0,CS Sedan,13,Build,1,2,6,0,1,12,-2,2,-2,28,1,-2,-2,0,1,Black 2,8,1,-1,7,3,4,1,0,7,-1,2,Straight 1,2,6,1,NA,Pattern,10,63,63,63,N,White,N,1,67,9,N,1,179,76,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,76,38,74,78,75,80,79,72,73,73,70,68,67,66,76,80,76,65,60,78,76,73,80,66,50,69,4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Stijnen,S T I J N E N,65535,25,A,1,1,1,1,N,N,Late,-41,4,R,B,GK,1,0,0,0,0,0,0,0,0,0,0,0,Belgium,1,0,Club Brugge KV,1,Build,1,0,0,0,1,9,-2,-3,0,17,0,-3,-3,-3,1,Brown 2,8,2,-3,1,0,6,0,0,2,-1,-3,Very Short 1,1,1,NA,NA,Pattern,11,63,63,63,NA,White,N,1,N,Same,N,1,188,81,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Long,N,Same,Standard,N,30,76,82,60,66,69,85,67,43,50,48,46,53,60,35,77,37,37,43,40,80,49,56,72,77,64,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Hoefkens,HOEFKENS,11641,28,A,1,1,1,1,N,N,Standard,26,4,R,B,CB,0,0,1,1,0,0,0,0,0,0,0,0,Belgium,13,0,,0,Build,1,-2,-3,0,1,20,0,-2,0,9,0,-1,0,-1,1,Black 1,5,0,0,4,3,6,1,0,3,-2,1,Straight 1,3,6,1,NA,Pattern,11,63,63,63,N,White,N,1,N,Same,N,1,185,82,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,White,Standard,N,58,75,81,82,73,72,75,71,69,68,68,67,71,75,62,79,60,59,58,80,77,69,56,73,50,74,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Van Buyten,T A R Z A N,8788,28,A,1,1,1,1,N,N,Late,64,6,R,B,CB,0,0,1,0,0,0,0,0,0,0,0,0,Belgium,4,0,Olympique de Marseille,4,Preset,1,-2,2,0,315,15,0,-2,0,29,1,-3,-2,-2,1,Black 2,2,-2,0,1,0,12,-1,0,2,-2,2,Special,224,NA,NA,NA,Pattern,9,63,63,63,NA,Black,N,1,N,11,N,1,197,87,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Untucked,Short,N,Same,Standard,N,65,87,94,80,67,71,76,70,66,63,60,63,74,66,70,88,75,74,60,89,80,70,70,72,50,81,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,Van Damme,VAN  DAMME,52685,23,A,1,1,1,1,N,N,Standard,63,5,L,B,SB,0,0,1,1,0,0,0,0,0,0,0,0,Belgium,19,0,Vitesse,32,Build,1,0,-7,0,1,9,0,-2,0,13,-1,-3,1,1,1,Dark Grey 2,6,-2,0,5,0,6,-1,-1,1,-2,0,Very Short 2,1,1,NA,NA,Pattern,10,63,63,63,NA,White,N,1,52,10,N,1,194,87,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,66,69,89,82,80,78,73,68,73,78,63,72,64,78,60,83,62,55,60,77,73,73,76,66,50,66,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Van der Heyden,V. D. HEYDEN,9421,30,A,1,1,1,1,N,N,Standard,3,5,L,L,SB,0,0,0,1,0,1,0,1,0,0,0,0,Belgium,5,0,,0,Build,1,-2,-2,0,1,26,-2,-2,0,31,0,0,0,0,1,Black 2,2,-1,0,5,0,1,0,-1,2,-2,2,Very Short 2,2,1,NA,NA,Pattern,9,63,63,63,NA,White,N,1,N,Same,N,1,183,80,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,74,58,80,82,81,78,71,73,75,77,75,74,77,76,68,84,69,66,71,69,68,70,77,68,50,75,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Vanden Borre,T O R E T T O,65535,19,A,1,1,1,1,N,N,Standard,56,4,R,R,CB,0,0,1,1,1,1,1,0,0,0,0,0,Belgium,20,0,,0,Preset,2,0,0,0,168,19,1,-3,0,32,-1,-1,-1,-1,1,Brown 2,6,-3,0,3,0,3,1,-3,2,-3,-2,Buzz Cut,1,2,NA,1,Pattern,10,63,63,63,NA,White,N,1,N,Same,N,1,185,78,0,0,0,0,0,0,0,0,0,0,N,N,White,N,None,None,White,N,N,Standard,Auto,N,Same,Standard,Y,65,72,81,85,78,76,75,79,75,78,74,75,75,75,63,82,68,62,66,70,78,76,72,63,50,70,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
